match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
11974053,2,2,,,,,,,,,,,
11974066,4,4,,,,,,,,,,,
11998445,2,2,7,2,7,,,,,7,,,
11998446,2,2,6,6,,,,,,,,,
11998447,0,0,4,0,,,,,,,,,
11998448,0,0,4,4,,,,,,,,,
11998449,2,2,6,6,,,,,,,,,
11998450,2,2,1,7,6,,,,14,,,,
11998451,1,1,6,6,3,,,3,,,,,
11998456,2,2,4,6,6,,,,,,,,
11998459,0,0,5,2,,,,,,,,,
11998666,2,2,6,7,,,,,7,,,,
11998667,1,1,6,3,4,,,,,,,,
11998670,2,2,2,7,6,,,,7,,,,
11998671,0,0,3,3,,,,,,,,,
11998672,1,1,7,5,3,,,11,,,,,
11998674,1,1,5,6,3,,,,,,,,
11998675,2,2,5,6,6,,,,,,,,
11998676,2,2,6,6,,,,,,,,,
11998772,1,1,4,7,5,,,,9,,,,
11998774,0,0,4,3,,,,,,,,,
11998780,1,1,2,6,3,,,,,,,,
11998782,0,0,0,6,,,,,4,,,,
11998783,2,2,6,6,,,,,,,,,
11998784,0,0,4,6,,,,,3,,,,
11998785,2,2,6,7,,,,,7,,,,
11998786,0,0,3,2,,,,,,,,,
11999004,2,2,7,6,,,,7,,,,,
11999005,1,1,6,6,4,,,,3,,,,
11999007,2,2,7,6,,,,8,,,,,
11999009,0,0,3,6,,,,,3,,,,
11999010,0,0,6,1,,,,4,,,,,
11999011,0,0,1,1,,,,,,,,,
11999012,2,2,7,5,7,,,7,,7,,,
11999013,2,2,6,6,,,,,,,,,
11999014,1,1,6,3,6,,,,,7,,,
11999209,2,2,6,6,,,,,,,,,
11999210,2,2,7,6,,,,7,,,,,
11999211,2,2,2,6,7,,,,,,,,
11999212,0,0,1,3,,,,,,,,,
11999213,0,0,0,0,,,,,,,,,
11999215,2,2,7,6,,,,,,,,,
11999219,2,2,6,6,,,,,,,,,
11999220,2,2,6,6,,,,,,,,,
12001976,3,3,,,,,,,,,,,
12002040,2,2,6,6,,,,,,,,,
12002041,1,1,6,1,0,,,,,,,,
12002042,1,1,7,2,2,,,,,,,,
12002043,2,2,6,6,,,,,,,,,
12002044,2,2,7,7,,,,7,7,,,,
12002048,2,2,6,6,,,,,,,,,
12002049,1,1,6,6,5,,,,9,,,,
12002050,2,2,6,6,,,,,,,,,
12002051,2,2,6,5,6,,,,,,,,
12002052,0,0,6,4,,,,2,,,,,
12002053,0,0,1,3,,,,,,,,,
12002055,1,1,6,4,6,,,,,7,,,
12002057,0,0,2,1,,,,,,,,,
12002058,1,1,1,6,3,,,,,,,,
12002060,1,1,6,3,6,,,,,4,,,
12002064,2,2,6,6,,,,,,,,,
12002065,2,2,6,7,,,,,7,,,,
12002068,2,2,6,7,,,,,10,,,,
12002078,1,1,,,,,,,,,,,
12002109,4,4,,,,,,,,,,,
12002112,3,3,,,,,,,,,,,
12010829,1,1,7,3,0,,,10,,,,,
12010830,2,2,4,6,6,,,,,,,,
12011297,,,,,,,,,,,,,
12011301,1,1,7,1,4,,,,,,,,
12011306,,,,,,,,,,,,,
12014547,2,2,4,6,7,,,,,,,,
12016976,1,1,6,6,2,,,4,,,,,
12017442,1,1,1,6,5,,,,,,,,
12017453,0,0,0,6,,,,,4,,,,
12017455,2,2,6,5,6,,,,,,,,
