match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
11974053,3,3,,,,,,,,,,,
11974066,0,0,,,,,,,,,,,
11998445,1,1,5,6,6,,,,,4,,,
11998446,0,0,4,1,,,,,,,,,
11998447,2,2,6,6,,,,,,,,,
11998448,2,2,6,6,,,,,,,,,
11998449,0,0,1,4,,,,,,,,,
11998450,1,1,6,6,3,,,,12,,,,
11998451,2,2,7,2,6,,,7,,,,,
11998456,1,1,6,3,4,,,,,,,,
11998459,2,2,7,6,,,,,,,,,
11998666,0,0,4,6,,,,,4,,,,
11998667,2,2,3,6,6,,,,,,,,
11998670,1,1,6,6,2,,,,5,,,,
11998671,2,2,6,6,,,,,,,,,
11998672,2,2,6,7,6,,,9,,,,,
11998674,2,2,7,4,6,,,,,,,,
11998675,1,1,7,4,4,,,,,,,,
11998676,0,0,3,4,,,,,,,,,
11998772,2,2,6,6,7,,,,7,,,,
11998774,2,2,6,6,,,,,,,,,
11998780,2,2,6,4,6,,,,,,,,
11998782,2,2,6,7,,,,,7,,,,
11998783,0,0,1,3,,,,,,,,,
11998784,2,2,6,7,,,,,7,,,,
11998785,0,0,4,6,,,,,4,,,,
11998786,2,2,6,6,,,,,,,,,
11999004,0,0,6,4,,,,5,,,,,
11999005,2,2,2,7,6,,,,7,,,,
11999007,0,0,6,4,,,,6,,,,,
11999009,2,2,6,7,,,,,7,,,,
11999010,2,2,7,6,,,,7,,,,,
11999011,2,2,6,6,,,,,,,,,
11999012,1,1,6,7,6,,,1,,3,,,
11999013,0,0,3,0,,,,,,,,,
11999014,2,2,3,6,7,,,,,9,,,
11999209,0,0,2,2,,,,,,,,,
11999210,0,0,6,1,,,,3,,,,,
11999211,1,1,6,1,6,,,,,,,,
11999212,2,2,6,6,,,,,,,,,
11999213,1,1,6,3,,,,,,,,,
11999215,0,0,5,4,,,,,,,,,
11999219,0,0,3,3,,,,,,,,,
11999220,0,0,4,4,,,,,,,,,
12001976,1,1,,,,,,,,,,,
12002040,0,0,2,2,,,,,,,,,
12002041,2,2,3,6,6,,,,,,,,
12002042,2,2,5,6,6,,,,,,,,
12002043,0,0,2,4,,,,,,,,,
12002044,0,0,6,6,,,,0,1,,,,
12002048,0,0,3,0,,,,,,,,,
12002049,2,2,2,7,7,,,,11,,,,
12002050,0,0,1,1,,,,,,,,,
12002051,1,1,3,7,4,,,,,,,,
12002052,2,2,7,6,,,,7,,,,,
12002053,2,2,6,6,,,,,,,,,
12002055,2,2,3,6,7,,,,,9,,,
12002057,2,2,6,6,,,,,,,,,
12002058,2,2,6,3,6,,,,,,,,
12002060,2,2,1,6,7,,,,,7,,,
12002064,0,0,3,3,,,,,,,,,
12002065,0,0,0,6,,,,,3,,,,
12002068,0,0,2,6,,,,,8,,,,
12002078,3,3,,,,,,,,,,,
12002109,0,0,,,,,,,,,,,
12002112,1,1,,,,,,,,,,,
12010829,2,2,6,6,6,,,8,,,,,
12010830,1,1,6,4,2,,,,,,,,
12011297,,,,,,,,,,,,,
12011301,2,2,5,6,6,,,,,,,,
12011306,,,,,,,,,,,,,
