match_id,market_id,market_name,is_live,suspended,initial_fractional_value,fractional_value,choice_name,choice_source_id,winnig,change
11974053,1,full_time,False,False,1/4,1/5,1,1994690951,True,-1
11974053,1,full_time,False,False,11/4,10/3,2,1994691017,False,1
11974066,1,full_time,False,False,14/1,14/1,1,1990515041,False,0
11974066,1,full_time,False,False,1/33,3/100,2,1990515081,True,0
11998445,1,full_time,False,False,1/1,4/5,1,1985921173,False,-1
11998445,1,full_time,False,False,4/5,1/1,2,1985921202,True,1
11998445,11,first_set_winner,False,False,10/11,4/5,1,1985924574,False,-1
11998445,11,first_set_winner,False,False,10/11,1/1,2,1985924691,True,1
11998445,12,total_games_won,False,False,5/6,5/6,Over,1987198066,True,0
11998445,12,total_games_won,False,False,5/6,5/6,Under,1987198051,False,0
11998446,1,full_time,False,False,13/10,3/2,1,1991003528,False,1
11998446,1,full_time,False,False,31/50,53/100,2,1991003543,True,-1
11998446,11,first_set_winner,False,False,11/8,13/10,1,1991004343,False,-1
11998446,11,first_set_winner,False,False,4/7,8/13,2,1991004453,True,1
11998446,12,total_games_won,False,False,5/6,5/6,Over,1991942192,False,0
11998446,12,total_games_won,False,False,5/6,5/6,Under,1991942134,True,0
11998447,1,full_time,False,False,2/5,9/25,1,1983070594,True,-1
11998447,1,full_time,False,False,2/1,11/5,2,1983070610,False,1
11998447,11,first_set_winner,False,False,1/2,4/9,1,1983071465,True,-1
11998447,11,first_set_winner,False,False,13/8,7/4,2,1983071630,False,1
11998447,12,total_games_won,False,False,10/11,10/11,Over,1983093184,False,0
11998447,12,total_games_won,False,False,4/5,4/5,Under,1983093125,True,0
11998448,1,full_time,False,False,11/10,11/10,1,1984221533,True,0
11998448,1,full_time,False,False,8/11,73/100,2,1984221729,False,-1
11998448,11,first_set_winner,False,False,1/1,1/1,1,1984223740,True,0
11998448,11,first_set_winner,False,False,4/5,4/5,2,1984223747,False,0
11998448,12,total_games_won,False,False,10/11,4/5,Over,1985660030,False,-1
11998448,12,total_games_won,False,False,4/5,10/11,Under,1985659874,True,1
11998449,1,full_time,False,False,13/10,3/2,1,1984775600,False,1
11998449,1,full_time,False,False,31/50,53/100,2,1984775778,True,-1
11998449,11,first_set_winner,False,False,6/5,13/10,1,1984812605,False,1
11998449,11,first_set_winner,False,False,4/6,8/13,2,1984812618,True,-1
11998449,12,total_games_won,False,False,4/5,5/6,Over,1986512065,False,1
11998449,12,total_games_won,False,False,10/11,5/6,Under,1986511993,True,-1
11998450,1,full_time,False,False,11/10,11/10,1,1985254794,False,0
11998450,1,full_time,False,False,8/11,73/100,2,1985254807,True,-1
11998450,11,first_set_winner,False,False,1/1,1/1,1,1985255340,True,0
11998450,11,first_set_winner,False,False,4/5,4/5,2,1985255418,False,0
11998450,12,total_games_won,False,False,5/6,5/6,Over,1986523337,True,0
11998450,12,total_games_won,False,False,5/6,5/6,Under,1986523189,False,0
11998451,1,full_time,False,False,10/11,4/5,1,1990083850,True,-1
11998451,1,full_time,False,False,10/11,1/1,2,1990083851,False,1
11998451,11,first_set_winner,False,False,10/11,4/5,1,1990085392,True,-1
11998451,11,first_set_winner,False,False,10/11,1/1,2,1990085573,False,1
11998451,12,total_games_won,False,False,10/11,10/11,Over,1991417228,True,0
11998451,12,total_games_won,False,False,4/5,4/5,Under,1991417113,False,0
11998456,1,full_time,False,False,163/100,163/100,1,1995061020,False,0
11998456,1,full_time,False,False,1/2,1/2,2,1995061221,True,0
11998456,11,first_set_winner,False,False,11/8,11/8,1,1995064165,True,0
11998456,11,first_set_winner,False,False,4/7,4/7,2,1995064260,False,0
11998456,12,total_games_won,False,False,5/6,5/6,Over,1997585997,True,0
11998456,12,total_games_won,False,False,5/6,5/6,Under,1997585982,False,0
11998459,1,full_time,False,False,7/50,13/100,1,1986592013,True,-1
