match_id,round_id,name,slug,cup_round_type
11998445,5,Round of 16,round-of-16,8
11998446,5,Round of 16,round-of-16,8
11998447,5,Round of 16,round-of-16,8
11998448,5,Round of 16,round-of-16,8
11998449,5,Round of 16,round-of-16,8
11998450,5,Round of 16,round-of-16,8
11998451,5,Round of 16,round-of-16,8
11998456,27,Quarterfinal,quarterfinal,4
11998459,5,Round of 16,round-of-16,8
11998666,27,Quarterfinal,quarterfinal,4
11998667,27,Quarterfinal,quarterfinal,4
11998670,27,Quarterfinal,quarterfinal,4
11998671,27,Quarterfinal,quarterfinal,4
11998672,5,Round of 16,round-of-16,8
11998674,5,Round of 16,round-of-16,8
11998675,5,Round of 16,round-of-16,8
11998676,5,Round of 16,round-of-16,8
11998772,5,Round of 16,round-of-16,8
11998774,5,Round of 16,round-of-16,8
11998780,5,Round of 16,round-of-16,8
11998782,5,Round of 16,round-of-16,8
11998783,5,Round of 16,round-of-16,8
11998784,5,Round of 16,round-of-16,8
11998785,5,Round of 16,round-of-16,8
11998786,5,Round of 16,round-of-16,8
11999004,5,Round of 16,round-of-16,8
11999005,5,Round of 16,round-of-16,8
11999007,5,Round of 16,round-of-16,8
11999009,5,Round of 16,round-of-16,8
11999010,5,Round of 16,round-of-16,8
11999011,5,Round of 16,round-of-16,8
11999012,5,Round of 16,round-of-16,8
11999013,5,Round of 16,round-of-16,8
11999014,27,Quarterfinal,quarterfinal,4
11999209,5,Round of 16,round-of-16,8
11999210,5,Round of 16,round-of-16,8
11999211,5,Round of 16,round-of-16,8
11999212,5,Round of 16,round-of-16,8
11999213,5,Round of 16,round-of-16,8
11999215,5,Round of 16,round-of-16,8
11999219,5,Round of 16,round-of-16,8
11999220,5,Round of 16,round-of-16,8
12002040,5,Round of 16,round-of-16,8
12002041,5,Round of 16,round-of-16,8
12002042,5,Round of 16,round-of-16,8
12002043,5,Round of 16,round-of-16,8
12002044,5,Round of 16,round-of-16,8
12002048,5,Round of 16,round-of-16,8
12002049,5,Round of 16,round-of-16,8
12002050,5,Round of 16,round-of-16,8
12002051,5,Round of 16,round-of-16,8
12002052,5,Round of 16,round-of-16,8
12002053,5,Round of 16,round-of-16,8
12002055,5,Round of 16,round-of-16,8
12002057,27,Quarterfinal,quarterfinal,4
12002058,27,Quarterfinal,quarterfinal,4
12002060,27,Quarterfinal,quarterfinal,4
12002064,27,Quarterfinal,quarterfinal,4
12002065,27,Quarterfinal,quarterfinal,4
12002068,27,Quarterfinal,quarterfinal,4
12010829,6,Round of 32,round-of-32,16
12010830,6,Round of 32,round-of-32,16
12011297,6,Round of 32,round-of-32,16
12011301,6,Round of 32,round-of-32,16
12011306,6,Round of 32,round-of-32,16
12014547,6,Round of 32,round-of-32,16
12016976,6,Round of 32,round-of-32,16
12017442,6,Round of 32,round-of-32,16
12017453,6,Round of 32,round-of-32,16
12017455,6,Round of 32,round-of-32,16
12017458,5,Round of 16,round-of-16,8
12017459,6,Round of 32,round-of-32,16
12017462,6,Round of 32,round-of-32,16
12017463,5,Round of 16,round-of-16,8
12017464,6,Round of 32,round-of-32,16
12017465,6,Round of 32,round-of-32,16
12017468,5,Round of 16,round-of-16,8
12017473,6,Round of 32,round-of-32,16
12017477,6,Round of 32,round-of-32,16
12017480,5,Round of 16,round-of-16,8
12017483,5,Round of 16,round-of-16,8
12017488,6,Round of 32,round-of-32,16
12017495,6,Round of 32,round-of-32,16
12017501,6,Round of 32,round-of-32,16
12017504,6,Round of 32,round-of-32,16
12017505,6,Round of 32,round-of-32,16
12017506,6,Round of 32,round-of-32,16
12017510,6,Round of 32,round-of-32,16
12017511,6,Round of 32,round-of-32,16
12017513,5,Round of 16,round-of-16,8
12017514,5,Round of 16,round-of-16,8
12017517,6,Round of 32,round-of-32,16
12017520,6,Round of 32,round-of-32,16
12017522,6,Round of 32,round-of-32,16
12017523,6,Round of 32,round-of-32,16
12017526,6,Round of 32,round-of-32,16
12017528,6,Round of 32,round-of-32,16
12017533,6,Round of 32,round-of-32,16
12017539,6,Round of 32,round-of-32,16
12017648,5,Round of 16,round-of-16,8
12017656,5,Round of 16,round-of-16,8
12018083,5,Round of 16,round-of-16,8
12018812,6,Round of 32,round-of-32,16
12018833,5,Round of 16,round-of-16,8
12018836,5,Round of 16,round-of-16,8
12018842,6,Round of 32,round-of-32,16
12018844,6,Round of 32,round-of-32,16
12018847,6,Round of 32,round-of-32,16
12018849,6,Round of 32,round-of-32,16
12018857,5,Round of 16,round-of-16,8
12018899,5,Round of 16,round-of-16,8
12018932,6,Round of 32,round-of-32,16
12018933,6,Round of 32,round-of-32,16
12018934,6,Round of 32,round-of-32,16
12018937,6,Round of 32,round-of-32,16
12018939,6,Round of 32,round-of-32,16
12018941,6,Round of 32,round-of-32,16
12018944,6,Round of 32,round-of-32,16
12018945,6,Round of 32,round-of-32,16
12019043,5,Round of 16,round-of-16,8
12019094,5,Round of 16,round-of-16,8
12019105,5,Round of 16,round-of-16,8
12019106,5,Round of 16,round-of-16,8
