match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
11974053,,,,,,
11974066,,,,,,
11998445,3259,2639,4202,,,1706816851
11998446,2488,2375,,,,1706803981
11998447,3741,1913,,,,1706798459
11998448,2639,3090,,,,1706710960
11998449,1500,2708,,,,1706727400
11998450,1606,4771,2051,,,1706737869
11998451,3182,1960,2034,,,1706792524
11998456,2218,2419,2975,,,1706885719
11998459,3410,1771,,,,1706825521
11998666,2266,5163,,,,1706845650
11998667,2508,2868,2528,,,1706839979
11998670,2034,4025,2265,,,1706845643
11998671,2628,2385,,,,1706851439
11998672,4604,5172,3700,,,1706751953
11998674,3359,7619,3338,,,1706762236
11998675,3446,3268,4263,,,1706749125
11998676,2881,3403,,,,1706759314
11998772,3390,3964,2897,,,1706810881
11998774,2490,2067,,,,1706741346
11998780,2377,3552,3386,,,1706809894
11998782,1822,3830,,,,1706719127
11998783,1317,2174,,,,1706724893
11998784,2087,3020,,,,1706816644
11998785,2437,3616,,,,1706725370
11998786,1986,2291,,,,1706833363
11999004,3385,3086,,,,1706820143
11999005,2881,3244,2306,,,1706813472
11999007,4014,3007,,,,1706802394
11999009,2496,4137,,,,1706799247
11999010,3523,1572,,,,1706789188
11999011,1537,1333,,,,1706794515
11999012,3417,2780,3292,,,1706731730
11999013,1895,1935,,,,1706713895
11999014,1856,2256,3427,,,1706882058
11999209,12593,14375,,,,1706730919
11999210,3423,1830,,,,1706749727
11999211,1643,2123,3446,,,1706801926
11999212,2159,3193,,,,1706795201
11999213,1859,1409,,,,1706801321
11999215,3783,4593,,,,1706716163
11999219,1920,2178,,,,1706794723
11999220,3124,3823,,,,1706725162
12001976,,,,,,
12002040,2065,2677,,,,1706791050
12002041,2715,2672,1653,,,1706800212
12002042,4131,2904,2996,,,1706778340
12002043,2603,2929,,,,1706784909
12002044,3439,4426,,,,1706711970
12002048,1947,1909,,,,1706726873
12002049,2328,4221,3886,,,1706815633
12002050,1665,2215,,,,1706801765
12002051,2316,3020,3172,,,1706798396
12002052,3534,2309,,,,1706733314
12002053,1702,2943,,,,1706794599
12002055,1820,2252,4407,,,1706824607
12002057,2267,2234,,,,1706874479
12002058,1608,2944,3375,,,1706862282
12002060,1622,3605,4419,,,1706882868
12002064,2130,2367,,,,1706868767
12002065,1346,4078,,,,1706877070
12002068,1844,3363,,,,1706883976
12002078,,,,,,
12002109,,,,,,
12002112,,,,,,
12010829,5592,5819,1576,,,1706723252
12010830,2834,2746,2150,,,1706717799
12011297,,,,,,
12011301,3640,1873,2471,,,1706730806
12011306,,,,,,1706703006
12014547,2384,2751,3676,,,1706720223
12016976,3517,2654,2548,,,1706711508
12017442,1202,1922,2566,,,1706717393
12017453,1976,2851,,,,1706719353
12017455,1976,2568,1792,,,1706719329
12017458,2856,2247,501,,,1706791443
12017459,2461,3511,,,,1706707716
12017462,2453,917,,,,1706711918
12017463,4508,3283,,,,1706779551
12017464,1974,3234,,,,1706705151
