match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
11974053,70826,Qualifiers,qualifiers,,Davis Cup,davis-cup,6909,,,False,False,False,False,0,2
11974066,70826,Qualifiers,qualifiers,,Davis Cup,davis-cup,6909,,,False,False,False,False,0,2
11998445,126168,"Montpellier, France",montpellier-france,,ATP,atp,2155,Hardcourt indoor,250,False,False,False,False,0,2
11998446,126168,"Montpellier, France",montpellier-france,,ATP,atp,2155,Hardcourt indoor,250,False,False,False,False,0,2
11998447,126168,"Montpellier, France",montpellier-france,,ATP,atp,2155,Hardcourt indoor,250,False,False,False,False,0,2
11998448,126168,"Montpellier, France",montpellier-france,,ATP,atp,2155,Hardcourt indoor,250,False,False,False,False,0,2
11998449,126168,"Montpellier, France",montpellier-france,,ATP,atp,2155,Hardcourt indoor,250,False,False,False,False,0,2
11998450,126168,"Montpellier, France",montpellier-france,,ATP,atp,2160,Hardcourt indoor,250,False,False,False,False,0,2
11998451,126168,"Montpellier, France",montpellier-france,,ATP,atp,2155,Hardcourt indoor,250,False,False,False,False,0,2
11998456,126168,"Montpellier, France",montpellier-france,,ATP,atp,2160,Hardcourt indoor,250,False,False,False,False,0,2
11998459,126168,"Montpellier, France",montpellier-france,,ATP,atp,2155,Hardcourt indoor,250,False,False,False,False,0,2
11998666,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998667,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998670,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998671,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998672,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998674,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998675,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998676,126174,"Burnie 1, Australia",burnie-1-australia,,Challenger,challenger,125,Hardcourt outdoor,,False,False,False,False,0,2
11998772,126179,"Cleveland, USA",cleveland-usa,,Challenger,challenger,162,Hardcourt indoor,,False,False,False,False,0,2
11998774,126179,"Cleveland, USA",cleveland-usa,,Challenger,challenger,163,Hardcourt indoor,,False,False,False,False,0,2
11998780,126179,"Cleveland, USA",cleveland-usa,,Challenger,challenger,163,Hardcourt indoor,,False,False,False,False,0,2
11998782,126179,"Cleveland, USA",cleveland-usa,,Challenger,challenger,163,Hardcourt indoor,,False,False,False,False,0,2
11998783,126179,"Cleveland, USA",cleveland-usa,,Challenger,challenger,162,Hardcourt indoor,,False,False,False,False,0,2
