match_id,city,stadium,venue_id,country
11974053,Groningen,Martini Plaza,7324,Netherlands
11974066,Vilnius,SEB Arena,36345,Lithuania
11998445,Montpellier,Court Patrice Dominguez,20333,France
11998446,Montpellier,Court Patrice Dominguez,20333,France
11998447,Montpellier,Court Patrice Dominguez,20333,France
11998448,Montpellier,Court Patrice Dominguez,20333,France
11998449,Montpellier,Court Patrice Dominguez,20333,France
11998450,Montpellier,Court Patrice Dominguez,20333,France
11998451,Montpellier,Court 1,20332,France
11998456,Montpellier,Court Patrice Dominguez,20333,France
11998459,Montpellier,Court Patrice Dominguez,20333,France
11998666,Burnie,Ct 3,20228,Australia
11998667,Burnie,Ct 3,20228,Australia
11998670,Burnie,Centre Court,24474,Australia
11998671,Burnie,Centre Court,24474,Australia
11998672,Burnie,Ct 5,20229,Australia
11998674,Burnie,Centre Court,24474,Australia
11998675,Burnie,Centre Court,24474,Australia
11998676,Burnie,Ct 5,20229,Australia
11998772,"Cleveland, OH",Stadium,43514,USA
11998774,"Cleveland, OH",Stadium,43514,USA
11998780,Cleveland,Court 4,24518,USA
11998782,"Cleveland, OH",Stadium,43514,USA
11998783,"Cleveland, OH",Stadium,43514,USA
11998784,"Cleveland, OH",Stadium,43514,USA
11998785,Cleveland,Court 4,24518,USA
11998786,"Cleveland, OH",Stadium,43514,USA
11999004,Koblenz,Center Court,20126,Germany
11999005,Koblenz,Center Court,20126,Germany
11999007,Koblenz,Center Court,20126,Germany
11999009,Koblenz,Court 1,20127,Germany
11999010,Koblenz,Center Court,20126,Germany
11999011,Koblenz,Court 1,20127,Germany
11999012,Koblenz,Court 1,20127,Germany
11999013,Koblenz,Center Court,20126,Germany
11999014,Koblenz,Center Court,20126,Germany
11999209,Piracicaba,Quadra Central,34555,Brazil
11999210,Piracicaba,Quadra Central,34555,Brazil
11999211,Piracicaba,Quadra 3,43513,Brazil
11999212,Piracicaba,Quadra Central,34555,Brazil
11999213,Piracicaba,Quadra Central,34555,Brazil
11999215,Piracicaba,Quadra Central,34555,Brazil
11999219,Piracicaba,Quadra 3,43513,Brazil
11999220,Piracicaba,Quadra Central,34555,Brazil
12001976,Cairo,Smash Sporting Club,43498,Egypt
12002040,Hua Hin,Centre Court,19267,Thailand
12002041,Hua Hin,Centre Court,19267,Thailand
12002042,Hua Hin,Centre Court,19267,Thailand
12002043,Hua Hin,Centre Court,19267,Thailand
12002044,Hua Hin,Centre Court,19267,Thailand
12002048,Linz,Center Court,18810,Austria
12002049,Linz,Center Court,18810,Austria
12002050,Linz,Center Court,18810,Austria
12002051,Linz,Court 1,18725,Austria
12002052,Linz,Center Court,18810,Austria
12002053,Linz,Center Court,18810,Austria
12002055,Linz,Center Court,18810,Austria
12002057,Hua Hin,Centre Court,19267,Thailand
12002058,Hua Hin,Centre Court,19267,Thailand
12002060,Hua Hin,Centre Court,19267,Thailand
12002064,Hua Hin,Centre Court,19267,Thailand
12002065,Linz,Center Court,18810,Austria
12002068,Linz,Center Court,18810,Austria
12002078,Cairo,El Gezera Sporting Club,34068,Egypt
12002109,Tashkent,Humo Ice Dome Tashkent,26394,Uzbekistan
12002112,Auckland,ASB Tennis Centre,28821,New Zealand
12010829,Montpellier,Court Patrice Dominguez,20333,France
12010830,Montpellier,Court 1,20332,France
12011297,Koblenz,Center Court,20126,Germany
12011301,Koblenz,Center Court,20126,Germany
12011306,Koblenz,Court 1,20127,Germany
12014547,Linz,Center Court,18810,Austria
12016976,Linz,Center Court,18810,Austria
12017442,Porto,Court 2,17579,Portugal
12017453,Porto,Court 1,17578,Portugal
12017455,Sharm El Sheikh,Court 3,17612,Egypt
12017458,Sharm El Sheikh,Court 3,17612,Egypt
12017459,Sharm El Sheikh,Court 5,33931,Egypt
12017462,Porto,Court 2,17579,Portugal
