match_id,home_vote,away_vote
11974053,272,61
11974066,124,579
11998445,4740,4091
11998446,897,4558
11998447,4456,780
11998448,1112,2405
11998449,2641,1907
11998450,1895,3675
11998451,3615,1505
11998456,1317,4567
11998459,4716,628
11998666,576,130
11998667,338,641
11998670,113,751
11998671,304,450
11998672,76,482
11998674,409,91
11998675,613,97
11998676,81,606
11998772,73,526
11998774,504,85
11998780,604,212
11998782,474,140
11998783,94,449
11998784,703,156
11998785,51,427
11998786,768,112
11999004,530,1004
11999005,335,1025
11999007,220,521
11999009,486,381
11999010,1058,188
11999011,472,559
11999012,305,675
11999013,500,345
11999014,342,722
11999209,87,456
11999210,284,504
11999211,119,771
11999212,280,290
11999213,761,67
11999215,703,136
11999219,207,357
11999220,185,567
12001976,50,156
12002040,775,1887
12002041,817,1286
12002042,954,1241
12002043,743,1694
12002044,1194,773
12002048,611,1820
12002049,3294,671
12002050,3058,885
12002051,1714,901
12002052,1781,840
12002053,2434,568
12002055,4326,1134
12002057,1730,835
12002058,1842,635
12002060,1743,601
12002064,384,1714
12002065,1080,2766
12002068,837,2082
12002078,125,79
12002109,34,239
12002112,92,105
12010829,1401,3628
12010830,1334,1722
12011297,541,138
12011301,266,802
12011306,561,207
12014547,1027,1730
12016976,2543,876
12017442,35,55
12017453,71,35
12017455,50,22
12017458,32,117
12017459,6,96
12017462,61,11
12017463,100,23
12017464,22,64
12017465,57,92
12017468,49,52
12017473,40,128
12017477,45,30
12017480,73,13
12017483,25,73
12017488,54,8
12017495,133,25
12017501,12,55
12017504,155,41
12017505,89,42
12017506,24,36
12017510,58,52
12017511,74,25
12017513,119,38
12017514,26,114
12017517,20,119
12017520,121,22
12017522,22,81
12017523,17,93
12017526,71,20
12017528,34,45
12017533,142,16
12017539,49,16
12017648,35,81
12017656,27,113
12018083,34,150
12018812,35,55
12018833,11,55
12018836,64,16
12018842,51,44
12018844,38,46
12018847,15,41
12018849,43,10
12018857,48,57
12018899,124,88
12018932,56,88
12018933,41,49
12018934,36,43
12018937,19,43
12018939,21,44
12018941,39,33
12018944,51,29
12018945,17,34
12019043,51,61
12019094,31,63
12019105,64,16
12019106,88,28
12019658,93,48
12019672,57,21
12019673,23,36
12019677,69,18
12019755,97,34
12019899,91,37
12019944,103,37
12019945,88,49
12019949,45,77
12019979,106,52
12020048,44,128
12020068,58,7
12020069,9,37
12020070,65,24
12020071,40,13
12020072,43,41
12020073,13,48
12020074,38,11
12020075,12,81
12020509,92,41
12020510,24,77
12020513,117,75
12020532,56,89
12020544,84,44
12020555,81,70
12020624,132,14
12020718,22,77
12021294,98,13
12021309,127,26
12021318,64,119
12021328,19,51
12021399,89,24
12021419,122,25
12021434,48,65
12021435,21,96
12021442,31,76
12021451,16,62
12021493,41,70
12021494,41,18
12021502,43,57
12021503,22,119
12021508,94,35
12021512,109,913
12021516,159,1121
12021518,16,54
12021519,17,73
12021521,23,48
12021522,50,88
12021530,28,145
12021532,108,28
12021538,24,80
12021539,52,23
12021558,32,97
12021562,31,60
12021566,30,35
12021581,58,2
12021589,17,73
12021590,38,71
12021599,58,31
12021601,0,0
12021605,123,25
12021622,23,67
12021623,68,25
12021624,26,61
12021658,69,113
12021659,33,57
12021806,73,37
12021807,28,75
12021848,44,75
12022185,75,22
12022248,24,68
12022250,93,14
12022251,14,79
12022262,22,67
12022282,112,45
12022295,86,13
12022305,25,92
12022321,27,101
12022327,115,29
12022336,29,20
12022371,27,105
12022396,23,56
12022430,40,136
12022438,77,27
12022439,26,45
12022452,59,46
12022453,75,13
12022492,174,38
12022513,52,92
12022525,59,40
12022526,70,19
12022527,70,36
12022528,1,1
12022562,60,118
12022672,40,108
12022674,27,99
12022675,14,74
12022680,14,57
12022685,28,82
12022703,77,17
12022718,37,149
12022727,56,61
12022801,89,27
12022802,69,92
12023335,183,61
12023340,166,50
12023348,294,32
12023350,265,76
12023352,298,221
12023353,46,251
12023361,81,208
12023362,72,472
12023461,49,136
12023462,88,191
12023465,136,62
12023470,83,217
12024041,61,792
12024043,122,510
12024064,27,136
12024149,98,188
12024225,105,41
12024232,65,690
12024235,197,692
12024236,44,139
12024243,210,27
12024248,31,67
12024249,131,78
12024252,131,29
12024254,80,78
12024307,63,42
12024308,21,148
12024356,75,24
12024368,1641,175
12024386,96,414
12024387,180,210
12024430,97,36
12024431,21,127
12024440,19,146
12024550,22,35
12024572,32,99
12024628,66,69
12024632,93,61
12024643,121,477
12024644,102,116
12024645,33,94
12024652,19,118
12024769,27,99
12024782,116,61
12024913,74,69
12025016,93,96
12025030,58,137
12025056,72,147
12025057,69,132
12025085,96,65
12025144,127,51
12025672,16,88
11974052,654,52
11974053,272,61
11974066,124,579
11974067,145,247
11974068,157,160
11974071,100,158
11987997,197,41
11998445,4740,4091
11998446,897,4558
11998447,4456,780
11998452,3693,2740
11998453,736,4243
11998454,3633,521
11998456,1317,4567
11998459,4716,628
11998664,536,206
11998666,576,130
11998667,338,641
11998670,113,751
11998671,304,450
11998673,689,110
11998772,73,526
11998776,189,606
11998777,252,472
11998779,577,121
11998780,604,212
11998781,562,138
11998784,703,156
11998786,768,112
11999004,530,1004
11999005,335,1025
11999006,123,638
11999007,220,521
11999009,486,381
11999011,472,559
11999014,342,722
11999015,727,423
11999018,762,170
11999019,842,351
11999206,229,505
11999207,755,310
11999208,371,476
11999211,119,771
11999212,280,290
11999213,761,67
11999214,254,618
11999219,207,357
12001944,110,31
12001976,50,156
12002041,817,1286
12002049,3294,671
12002050,3058,885
12002051,1714,901
